epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3547.07,0.27741,0.26107,0.80125,0.97837,0.98608,0.98759,0.94411,0.30497,0.22805,0.81845,0.000480773,0.000480773,0.000480773
43,3624.01,0.29229,0.25495,0.80085,0.97838,0.9854,0.98701,0.94666,0.3178,0.25068,0.82089,0.000478938,0.000478938,0.000478938
44,3699.25,0.28905,0.27795,0.80918,0.98188,0.98149,0.98732,0.95082,0.29858,0.2281,0.81346,0.000477104,0.000477104,0.000477104
45,3777.44,0.29076,0.26029,0.80085,0.98082,0.98426,0.98383,0.94166,0.31704,0.2448,0.81826,0.000475269,0.000475269,0.000475269
46,3855.21,0.27682,0.25593,0.80392,0.98066,0.9831,0.98398,0.94357,0.29943,0.23842,0.81253,0.000473434,0.000473434,0.000473434
47,3935.66,0.26329,0.25523,0.80083,0.9818,0.98442,0.9876,0.94854,0.28441,0.23552,0.80562,0.000471599,0.000471599,0.000471599
48,4015.13,0.27881,0.24632,0.79994,0.97691,0.98783,0.98574,0.94661,0.30296,0.22668,0.8127,0.000469764,0.000469764,0.000469764
49,4099.04,0.27234,0.25837,0.8015,0.96966,0.9797,0.98794,0.9524,0.2893,0.23861,0.80984,0.00046793,0.00046793,0.00046793
50,4181.02,0.27837,0.26572,0.79788,0.96885,0.97313,0.98573,0.94731,0.29744,0.23777,0.81224,0.000466095,0.000466095,0.000466095
51,4261.25,0.26228,0.24661,0.80351,0.97633,0.9765,0.9854,0.94313,0.3139,0.23717,0.81914,0.00046426,0.00046426,0.00046426
52,4341.55,0.27625,0.26349,0.80898,0.9818,0.98754,0.98733,0.94885,0.30395,0.2288,0.81145,0.000462425,0.000462425,0.000462425
53,4423.87,0.27788,0.25535,0.79849,0.97639,0.98023,0.9869,0.95047,0.31201,0.24195,0.81618,0.00046059,0.00046059,0.00046059
54,4500.11,0.28346,0.27292,0.8075,0.97268,0.96657,0.98686,0.95104,0.30242,0.24802,0.81328,0.000458756,0.000458756,0.000458756
55,4581.64,0.28265,0.25691,0.80266,0.95349,0.95959,0.98659,0.95263,0.29178,0.25937,0.80739,0.000456921,0.000456921,0.000456921
