epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,162.904,0.69797,0.4996,0.87432,0.87856,0.99213,0.92052,0.73196,0.82734,0.63475,0.87789,0.000306705,0.000306705,0.000306705
44,165.48,0.64525,0.47931,0.82122,0.87856,0.99213,0.92052,0.73196,0.82734,0.63475,0.87789,0.000308686,0.000308686,0.000308686
45,167.921,0.79158,0.56282,0.82055,0.91393,0.99547,0.99346,0.77856,0.85363,0.56745,0.88494,0.00031042,0.00031042,0.00031042
46,170.324,0.65057,0.46242,0.82758,0.91393,0.99547,0.99346,0.77856,0.85363,0.56745,0.88494,0.000311906,0.000311906,0.000311906
47,172.752,0.67592,0.475,0.84915,0.95819,0.99309,0.99346,0.78743,0.85088,0.51293,0.88349,0.000313145,0.000313145,0.000313145
48,175.102,0.62587,0.43381,0.834,0.95819,0.99309,0.99346,0.78743,0.85088,0.51293,0.88349,0.000314136,0.000314136,0.000314136
49,177.572,0.65062,0.43296,0.81189,0.96276,0.99741,0.995,0.79175,0.82808,0.51608,0.87842,0.00031488,0.00031488,0.00031488
50,179.952,0.57107,0.40388,0.82532,0.96276,0.99741,0.995,0.79175,0.82808,0.51608,0.87842,0.000315376,0.000315376,0.000315376
51,182.568,0.62409,0.4257,0.83094,0.95793,0.99831,0.995,0.78507,0.82539,0.53303,0.87836,0.000315625,0.000315625,0.000315625
52,184.958,0.68175,0.50988,0.89177,0.95793,0.99831,0.995,0.78507,0.82539,0.53303,0.87836,0.000315626,0.000315626,0.000315626
53,187.42,0.71264,0.45386,0.82758,0.95793,0.99831,0.995,0.78507,0.82539,0.53303,0.87836,0.00031538,0.00031538,0.00031538
54,189.84,0.68706,0.45666,0.81287,0.95082,0.99672,0.995,0.79034,0.82396,0.556,0.87735,0.000314886,0.000314886,0.000314886
55,192.17,0.62469,0.42801,0.84235,0.95082,0.99672,0.995,0.79034,0.82396,0.556,0.87735,0.000314145,0.000314145,0.000314145
56,194.443,0.6402,0.45357,0.81653,0.95082,0.99672,0.995,0.79034,0.82396,0.556,0.87735,0.000313156,0.000313156,0.000313156
57,196.862,0.58237,0.42854,0.84055,0.95222,0.99186,0.995,0.77481,0.82642,0.53359,0.87735,0.00031192,0.00031192,0.00031192
58,199.229,0.61107,0.43006,0.83058,0.95222,0.99186,0.995,0.77481,0.82642,0.53359,0.87735,0.000310436,0.000310436,0.000310436
59,201.626,0.66749,0.45851,0.82916,0.95222,0.99186,0.995,0.77481,0.82642,0.53359,0.87735,0.000308705,0.000308705,0.000308705
60,204.086,0.63646,0.43326,0.80546,0.94191,0.99644,0.995,0.76049,0.88414,0.50568,0.89127,0.000306726,0.000306726,0.000306726
61,206.468,0.62584,0.44201,0.81354,0.94191,0.99644,0.995,0.76049,0.88414,0.50568,0.89127,0.0003045,0.0003045,0.0003045
62,208.876,0.59535,0.40641,0.81946,0.94191,0.99644,0.995,0.76049,0.88414,0.50568,0.89127,0.000302026,0.000302026,0.000302026
63,211.224,0.64987,0.43339,0.83206,0.97241,0.98372,0.995,0.75289,0.9356,0.51471,0.90234,0.000299305,0.000299305,0.000299305
64,213.678,0.66636,0.44128,0.81466,0.97241,0.98372,0.995,0.75289,0.9356,0.51471,0.90234,0.000296336,0.000296336,0.000296336
65,216.105,0.60978,0.41023,0.80202,0.97241,0.98372,0.995,0.75289,0.9356,0.51471,0.90234,0.00029312,0.00029312,0.00029312
66,218.499,0.63578,0.41326,0.83248,0.9865,0.98697,0.995,0.75606,0.90349,0.4846,0.89371,0.000289656,0.000289656,0.000289656
67,220.924,0.60947,0.4023,0.80625,0.9865,0.98697,0.995,0.75606,0.90349,0.4846,0.89371,0.000285945,0.000285945,0.000285945
68,223.239,0.6349,0.44277,0.81673,0.9865,0.98697,0.995,0.75606,0.90349,0.4846,0.89371,0.000281986,0.000281986,0.000281986
69,225.757,0.62484,0.42058,0.81152,0.98942,0.9962,0.995,0.77467,0.8374,0.44293,0.87598,0.00027778,0.00027778,0.00027778
70,228.148,0.59813,0.43068,0.79509,0.98942,0.9962,0.995,0.77467,0.8374,0.44293,0.87598,0.000273326,0.000273326,0.000273326
71,230.58,0.6158,0.40928,0.84392,0.98942,0.9962,0.995,0.77467,0.8374,0.44293,0.87598,0.000268625,0.000268625,0.000268625
72,233.023,0.72097,0.4606,0.82432,0.9903,1,0.995,0.7753,0.81656,0.42222,0.87116,0.000263676,0.000263676,0.000263676
